no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
228,OS 562,249.55607,57.33999,COMPACT,0,,
229,NRAO 512,250.12347,39.77945,COMPACT,0,,
230,4C +69.21,250.5327,68.9444,COMPACT,0,,
231,3C 345,250.745,39.8103,COMPACT,0,,
232,Mrk 501,253.46757,39.76017,1-SIDE SEPARATED,0,,
233,4C +48.41,254.44533,48.14251,COMPACT,0,,
234,PKS 1655+077,254.5376,7.691,COMPACT,0,,
235,TXS 1700+685,255.03872,68.50193,1-SIDE EXTENDED,0,,
236,B3 1708+433,257.42119,43.31237,COMPACT,0,,
237,S4 1716+68,259.05807,68.61076,2-SIDE EXTENDED,1,,
238,OT 129,259.80437,17.75179,COMPACT,0,,
239,VIPS 1080,261.02262,40.07679,COMPACT,0,,
240,S4 1726+45,261.86521,45.51104,COMPACT,0,,
241,PKS 1725+123,262.02938,12.26097,COMPACT,0,,
242,I Zw 187,262.0776,50.21957,COMPACT,0,,
243,PKS 1725+044,262.10397,4.45136,COMPACT,0,,
244,OT 355,263.58574,38.96429,COMPACT,0,,
245,OT 463,264.86413,49.9176,COMPACT,0,,
246,S3 1741+19,265.99097,19.58584,COMPACT,0,,
247,PKS 1741-03,265.99523,-3.83462,COMPACT,0,,EP01
248,TXS 1742-078,266.36294,-7.88443,COMPACT,0,,
249,S4 1749+70,267.13683,70.09744,COMPACT,0,,
250,OT 081,267.88674,9.6502,COMPACT_D,0,,
251,B2 1751+28,268.42697,28.80137,COMPACT,0,,
252,B3 1758+388B,270.10319,38.80853,COMPACT,0,,
253,S5 1803+784,270.19035,78.46778,2-SIDE SEPARATED,1,COMPACT,
254,S4 1800+44,270.38464,44.07275,COMPACT,0,,
255,3C 371,271.71117,69.82447,1-SIDE SEPARATED,0,,
256,TXS 1811+062,273.38922,6.26168,COMPACT,0,,
257,4C +56.27,276.02949,56.8504,COMPACT,0,,
258,TXS 1827+062,277.52475,6.3211,COMPACT,0,,
259,B2 1846+32A,282.09204,32.31739,COMPACT,0,,
260,S4 1849+67,282.31697,67.09491,2-SIDE EXTENDED,1,,
261,S4 1851+48,283.11895,48.92986,COMPACT,0,,
262,TXS 1902+556,285.79836,55.67735,COMPACT,0,,
263,PKS B1908-201,287.79022,-20.11528,COMPACT,0,,
264,1H 1914-194,289.43675,-19.35878,COMPACT,0,,
265,OV -235,290.88414,-21.07591,COMPACT,0,,
266,PKS B1923+210,291.49836,21.10727,COMPACT,0,,
267,S4 1926+61,291.87684,61.29247,COMPACT,0,,
268,4C +73.18,291.95206,73.9671,COMPACT_D,0,,
269,PKS 1936-15,294.86107,-15.42863,COMPACT,0,,
270,TXS 1951-115,298.67148,-11.38962,COMPACT,0,,
271,OV 591,298.9281,51.53015,COMPACT,0,,
272,1ES 1959+650,299.99938,65.14851,COMPACT,0,,
273,PKS 1958-179,300.23788,-17.81602,COMPACT,0,,
274,S5 2007+77,301.37918,77.87869,COMPACT,0,,
275,TXS 2005+403,301.93727,40.49683,COMPACT,0,,
276,PKS 2008-159,302.81546,-15.77785,COMPACT,0,,
277,7C 2010+4619,303.02349,46.48216,1-SIDE SEPARATED,0,,
278,TXS 2013+370,303.86971,37.1832,COMPACT_D,0,,
279,TXS 2013+163,304.05775,16.54281,COMPACT,0,,
280,4C +31.56,305.82924,31.88397,COMPACT,0,,
281,PKS 2023-07,306.41942,-7.59797,COMPACT,0,,
282,PKS 2029+121,307.97914,12.32815,COMPACT,0,,
283,OW 154.9,308.84306,10.93522,COMPACT,0,,
284,4C +74.26,310.65545,75.13401,COMPACT,0,,
285,PKS 2047+098,312.4411,10.054,COMPACT,0,,
286,PKS 2047+039,312.526,4.13025,COMPACT,0,,
287,B2 2113+29,318.87256,29.56066,COMPACT,0,,
288,OX 036,320.93549,5.58947,COMPACT,0,,
289,PKS 2126-158,322.30073,-15.64473,COMPACT,0,,
290,OX 161,324.75546,14.39333,COMPACT,0,,
291,OX 169,325.89812,17.73022,COMPACT,0,,
292,PKS 2144+092,326.79235,9.4963,COMPACT,0,,
293,OX 183,328.10341,17.57717,COMPACT,0,,
294,B2 2155+31,329.3701,31.45038,COMPACT,0,,
295,PKS 2155-152,329.52617,-15.01926,COMPACT,0,,
296,BL Lac,330.68038,42.27777,COMPACT,0,,
297,4C +31.63,330.8124,31.7606,COMPACT,0,,EP02
298,PKS 2201+171,330.86206,17.43007,COMPACT,0,,
299,PKS 2209+236,333.02486,23.92793,COMPACT,0,,
300,PKS 2216-03,334.71682,-3.59358,COMPACT,0,,
301,DA 580,336.40854,21.30179,COMPACT,0,,
302,3C 446,336.44691,-4.95039,COMPACT,0,,EP02
303,PHL 5225,337.41702,-8.54845,COMPACT,0,,
304,CTD 135,339.0936,28.4826,COMPACT,0,,
305,OY -156,339.14203,-14.55616,COMPACT,0,,
306,TXS 2241+406,341.05305,40.95378,COMPACT,0,,
307,PKS 2243-123,341.57599,-12.11425,COMPACT,0,,EP02
308,PMN J2250-2806,342.68538,-28.11092,COMPACT,0,,
309,PKS 2254+074,344.3221,7.72008,COMPACT,0,,
310,PKS 2255-282,344.52485,-27.97257,COMPACT,0,,
311,PKS B2258-022,345.28324,-1.96794,COMPACT,0,,
312,B2 2319+31,350.47898,32.06878,COMPACT,0,,
313,PKS 2320-035,350.88316,-3.28471,COMPACT,0,,
314,OZ 042,351.88992,9.6693,COMPACT,0,,
315,TXS 2331+073,353.55345,7.60765,COMPACT,0,,
316,PMN J2345-1555,356.30193,-15.91884,COMPACT,0,,
317,1ES 2344+514,356.77015,51.70497,COMPACT,0,,
318,PKS 2345-16,357.01087,-16.52001,COMPACT_D,0,,
319,4C +45.51,358.59033,45.88451,COMPACT,0,,
320,S5 2353+81,359.09497,81.88118,COMPACT,0,,
321,PKS 2356+196,359.69202,19.92231,COMPACT,0,,
