no.,name,ra,dec,class,visual_flag,visual_class
301,PKS 1655+077,254.5376,7.691,COMPACT,0,
302,TXS 1700+685,255.03872,68.50193,1-SIDE EXTENDED,0,
303,B3 1708+433,257.42119,43.31237,COMPACT,0,
304,S4 1716+68,259.05807,68.61076,2-SIDE EXTENDED,1,
305,OT 129,259.80437,17.75179,COMPACT,0,
306,VIPS 1080,261.02262,40.07679,COMPACT,0,
307,S4 1726+45,261.86521,45.51104,COMPACT,0,
308,PKS 1725+123,262.02938,12.26097,COMPACT,0,
309,I Zw 187,262.0776,50.21957,COMPACT,0,
310,PKS 1725+044,262.10397,4.45136,COMPACT,0,
311,OT 355,263.58574,38.96429,COMPACT,0,
312,OT 463,264.86413,49.9176,COMPACT,0,
313,OT +465,264.98804,47.63288,COMPACT,0,
314,4C +51.37,265.1541,52.1954,COMPACT,0,
315,S3 1741+19,265.99097,19.58584,COMPACT,0,
316,PKS 1741-03,265.99523,-3.83462,COMPACT,0,
317,TXS 1742-078,266.36294,-7.88443,COMPACT,0,
318,S4 1749+70,267.13683,70.09744,COMPACT,0,
319,OT 081,267.88674,9.6502,COMPACT_D,0,
320,B2 1751+28,268.42697,28.80137,COMPACT,0,
321,87GB 175437.6+153548,269.22126,15.58912,COMPACT,0,
322,B3 1758+388B,270.10319,38.80853,COMPACT,0,
323,S5 1803+784,270.19035,78.46778,2-SIDE SEPARATED,1,COMPACT
324,S4 1800+44,270.38464,44.07275,COMPACT,0,
325,3C 371,271.71117,69.82447,1-SIDE SEPARATED,0,
326,TXS 1811+062,273.38922,6.26168,COMPACT,0,
327,4C +56.27,276.02949,56.8504,COMPACT,0,
328,CRATES J1830+1324,277.50333,13.40389,COMPACT,0,
329,TXS 1827+062,277.52475,6.3211,COMPACT,0,
330,3C 382,278.76412,32.69635,1-SIDE EXTENDED,0,
331,3C 390.3,280.53746,79.77142,1-SIDE SEPARATED,0,
332,S4 1842+68,280.64017,68.15701,COMPACT,0,
333,B2 1846+32A,282.09204,32.31739,COMPACT,0,
334,B2 1846+32B,282.14318,32.73335,COMPACT,0,
335,S4 1849+67,282.31697,67.09491,2-SIDE EXTENDED,1,
336,S4 1851+48,283.11895,48.92986,COMPACT,0,
337,TXS 1902+556,285.79836,55.67735,COMPACT,0,
338,PKS B1908-201,287.79022,-20.11528,COMPACT,0,
339,1H 1914-194,289.43675,-19.35878,COMPACT,0,
340,OV -235,290.88414,-21.07591,COMPACT,0,
341,TXS 1923+123,291.42007,12.46058,COMPACT,0,
342,PKS B1923+210,291.49836,21.10727,COMPACT,0,
343,S4 1926+61,291.87684,61.29247,COMPACT,0,
344,4C +73.18,291.95206,73.9671,COMPACT_D,0,
345,8C 1944+838,294.32917,83.935,NON-DETECTION,0,
346,PKS 1936-15,294.86107,-15.42863,COMPACT,0,
347,NVSS J194247+103327,295.69785,10.55752,COMPACT,0,
348,TXS 1951-115,298.67148,-11.38962,COMPACT,0,
349,OV 591,298.9281,51.53015,COMPACT,0,
350,1ES 1959+650,299.99938,65.14851,COMPACT,0,
351,PKS 1958-179,300.23788,-17.81602,COMPACT,0,
352,MG4 J200112+4352,300.30364,43.88134,COMPACT,0,
353,S5 2007+77,301.37918,77.87869,COMPACT,0,
354,TXS 2005+403,301.93727,40.49683,COMPACT,0,
355,PKS 2008-159,302.81546,-15.77785,COMPACT,0,
356,7C 2010+4619,303.02349,46.48216,1-SIDE SEPARATED,0,
357,TXS 2013+370,303.86971,37.1832,COMPACT_D,0,
358,TXS 2013+163,304.05775,16.54281,COMPACT,0,
359,TXS 2021+614,305.52784,61.61633,COMPACT,0,
360,4C +31.56,305.82924,31.88397,COMPACT,0,
361,B2 2023+33,306.29518,33.71673,COMPACT,0,
362,PKS 2023-07,306.41942,-7.59797,COMPACT,0,
363,MG4 J202932+4925,307.41614,49.43948,COMPACT,0,
364,PKS 2029+121,307.97914,12.32815,COMPACT,0,
365,OW 154.9,308.84306,10.93522,COMPACT,0,
366,4C +74.26,310.65545,75.13401,COMPACT,0,
367,PKS 2047+098,312.4411,10.054,COMPACT,0,
368,PKS 2047+039,312.526,4.13025,COMPACT,0,
369,NVSS J210217+470216,315.57107,47.03785,COMPACT,0,
370,B2 2113+29,318.87256,29.56066,COMPACT,0,
371,OX 036,320.93549,5.58947,COMPACT,0,
372,PKS 2126-158,322.30073,-15.64473,COMPACT,0,
373,4C -02.81,323.54296,-1.88812,COMPACT,0,
374,OX 161,324.75546,14.39333,COMPACT,0,
375,OX 169,325.89812,17.73022,COMPACT,0,
376,PKS 2144+092,326.79235,9.4963,COMPACT,0,
377,OX 183,328.10341,17.57717,COMPACT,0,
378,B2 2155+31,329.3701,31.45038,COMPACT,0,
379,PKS 2155-152,329.52617,-15.01926,COMPACT,0,
380,TXS 2157+102,330.03306,10.50219,COMPACT,0,
381,BL Lac,330.68038,42.27777,COMPACT,0,
382,4C +31.63,330.8124,31.7606,COMPACT,0,
383,PKS 2201+171,330.86206,17.43007,COMPACT,0,
384,PKS 2209+236,333.02486,23.92793,COMPACT,0,
385,PKS 2216-03,334.71682,-3.59358,COMPACT,0,
386,MG1 J221916+1806,334.80872,18.10988,COMPACT,0,
387,DA 580,336.40854,21.30179,COMPACT,0,
