no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
227,J003233.09-284920.44,8.137875,-28.82234444,COMPACT_D,0,,
228,J003241.62+875043.58,8.173416667,87.84543889,COMPACT,0,,
229,J003255.70+394619.31,8.232083333,39.77203056,2-SIDE SEPARATED,0,,
230,J003301.47+851619.30,8.256125,85.27202778,2-SIDE SEPARATED,0,,
231,J003316.36+585628.90,8.318166667,58.94136111,COMPACT,0,,
232,J003344.91+153208.84,8.437125,15.53578889,COMPACT,0,,
233,J003352.23-161058.09,8.467625,-16.18280278,COMPACT,0,,
234,J003354.09-251145.34,8.475375,-25.19592778,COMPACT,0,,
235,J003354.65+444322.40,8.477708333,44.72288889,1-SIDE SEPARATED,0,,
236,J003405.00+320620.98,8.520833333,32.10582778,COMPACT,0,,
237,J003419.51-243750.58,8.581291667,-24.63071667,COMPACT,0,,
238,J003424.13-175921.49,8.600541667,-17.98930278,2-SIDE SEPARATED,0,,
239,J003436.20-111954.27,8.650833333,-11.33174167,COMPACT,0,,
240,J003438.28-014308.30,8.6595,-1.718972222,COMPACT,0,,
241,J003445.40+441729.11,8.689166667,44.29141944,COMPACT,0,,
242,J003448.20-162256.38,8.700833333,-16.38232778,COMPACT,0,,
243,J003449.58+032603.10,8.706583333,3.434194444,COMPACT,0,,
244,J003503.79+304051.68,8.765791667,30.68102222,1-SIDE SEPARATED,0,,
245,J003504.69-141607.98,8.769541667,-14.26888333,COMPACT,0,,
246,J003506.07+423820.48,8.775291667,42.63902222,COMPACT,0,,
247,J003508.79-200359.40,8.786625,-20.0665,COMPACT_D,0,,
248,J003512.43-163956.89,8.801791667,-16.66580278,COMPACT,0,,
249,J003514.72+151504.08,8.811333333,15.25113333,COMPACT,0,,
250,J003515.31+560644.30,8.813791667,56.11230556,2-SIDE SEPARATED,0,,
251,J003528.34+460853.07,8.868083333,46.148075,COMPACT,0,,
252,J003529.23-345933.22,8.871791667,-34.99256111,COMPACT,0,,
253,J003532.94+550829.26,8.88725,55.14146111,COMPACT,0,,
254,J003553.04-091150.16,8.971,-9.197266667,COMPACT,0,,
255,J003555.52+155317.99,8.981333333,15.88833056,COMPACT_D,0,,
256,J003606.44+183759.11,9.026833333,18.63308611,COMPACT,0,,
257,J003607.50+585546.23,9.03125,58.92950833,2-SIDE EXTENDED,0,,
258,J003608.27-262530.37,9.034458333,-26.42510278,2-SIDE SEPARATED,0,,
259,J003614.04+245410.15,9.0585,24.90281944,COMPACT,0,,
260,J003616.41+372805.09,9.068375,37.46808056,1-SIDE SEPARATED,0,,
261,J003648.14+315114.60,9.200583333,31.85405556,COMPACT_D,0,,
262,J003659.82+295856.61,9.24925,29.98239167,COMPACT,0,,
263,J003701.25+425233.73,9.255208333,42.87603611,2-SIDE SEPARATED,0,,
264,J003719.16+261312.65,9.329833333,26.22018056,1-SIDE SEPARATED,0,,
265,J003723.55+214153.20,9.348125,21.69811111,COMPACT,0,,
266,J003736.73+393811.80,9.403041667,39.63661111,COMPACT,0,,
267,J003746.15+365910.90,9.442291667,36.98636111,2-SIDE EXTENDED,0,,
268,J003748.93+162517.36,9.453875,16.42148889,COMPACT,0,,
269,J003750.88+123819.88,9.462,12.63885556,2-SIDE EXTENDED,0,,
270,J003808.50+001336.51,9.535416667,0.2268083333,COMPACT,0,,
271,J003811.58-041225.58,9.54825,-4.207105556,COMPACT,0,,
272,J003813.04+530708.48,9.554333333,53.11902222,COMPACT,0,,
273,J003814.74-245902.25,9.561416667,-24.98395833,COMPACT_D,0,,
274,J003818.05+122731.73,9.575208333,12.45881389,COMPACT_D,0,,
275,J003820.53-020740.56,9.585541667,-2.127933333,2-SIDE EXTENDED,0,,
276,J003820.79-032959.00,9.586625,-3.499722222,COMPACT_D,0,,
