no.,name,ra,dec,class,visual_flag,visual_class
133,J005805.07-053952.30,14.521125,-5.664527778,COMPACT_D,0,
134,J005816.78+172313.48,14.56991667,17.38707778,COMPACT,0,
135,J005832.05+331117.41,14.63354167,33.18816944,COMPACT,0,
136,J005833.79+062006.39,14.64079167,6.335108333,COMPACT_D,0,
137,J005916.91-015017.69,14.82045833,-1.838247222,COMPACT,0,
138,J010009.29-333732.19,15.03870833,-33.62560833,COMPACT,0,
139,J010020.80+074551.40,15.08666667,7.764277778,COMPACT,0,
140,J010038.28+334506.19,15.1595,33.75171944,COMPACT,0,
141,J010058.18-005547.38,15.24241667,-0.9298277778,COMPACT,0,
142,J010227.11+421419.28,15.61295833,42.23868889,COMPACT,0,
143,J010245.76+582411.08,15.69066667,58.40307778,COMPACT_D,0,
144,J010256.34-264636.08,15.73475,-26.77668889,COMPACT_D,0,
145,J010326.01+152624.79,15.858375,15.44021944,COMPACT_D,0,
146,J010328.85+432259.91,15.87020833,43.38330833,COMPACT,0,
147,J010458.19-241628.41,16.24245833,-24.27455833,COMPACT_D,0,
148,J010509.29+392815.31,16.28870833,39.47091944,COMPACT,0,
149,J010600.29+340203.01,16.50120833,34.03416944,2-SIDE EXTENDED,1,COMPACT
150,J010610.97+253930.49,16.54570833,25.65846944,COMPACT,0,
151,J010622.98-015538.38,16.59575,-1.927327778,COMPACT_D,0,
152,J010626.08-271811.80,16.60866667,-27.30327778,COMPACT_D,0,
153,J010644.15-103410.30,16.68395833,-10.56952778,COMPACT,0,
154,J010747.88+261108.59,16.9495,26.18571944,COMPACT,0,
155,J010826.83-003724.20,17.11179167,-0.6233888889,COMPACT_D,0,
156,J010838.76+013500.31,17.1615,1.583419444,COMPACT,0,
157,J010908.17+181607.50,17.28404167,18.26875,COMPACT,0,
158,J010946.33+613330.49,17.44304167,61.55846944,COMPACT_D,0,
159,J011004.79+414950.91,17.51995833,41.83080833,COMPACT,0,
160,J011012.66-004746.78,17.55275,-0.7963277778,COMPACT,0,
161,J011012.86+680541.20,17.55358333,68.09477778,2-SIDE EXTENDED,1,
162,J011030.89-041530.99,17.62870833,-4.258608333,COMPACT_D,0,
163,J011035.51-164827.68,17.64795833,-16.80768889,COMPACT_D,0,
164,J011049.97-125503.50,17.70820833,-12.91763889,COMPACT,0,
165,J011050.02-074141.10,17.70841667,-7.69475,COMPACT_D,0,
166,J011130.18+053627.28,17.87575,5.607577778,COMPACT,0,
167,J011137.31+390628.11,17.90545833,39.10780833,COMPACT_D,0,
168,J011156.86-131701.10,17.98691667,-13.28363889,COMPACT,0,
169,J011205.81+224438.79,18.02420833,22.74410833,COMPACT_D,0,
170,J011210.19+202021.80,18.04245833,20.33938889,COMPACT,0,
171,J011212.94+352219.30,18.05391667,35.37202778,COMPACT_D,0,
172,J011218.05+381856.91,18.07520833,38.31580833,COMPACT,0,
173,J011232.76-320142.09,18.1365,-32.02835833,COMPACT,0,
174,J011250.33+320817.41,18.20970833,32.13816944,COMPACT_D,0,
175,J011315.84-355147.91,18.316,-35.86330833,COMPACT_D,0,
176,J011326.99+494824.01,18.36245833,49.80666944,2-SIDE EXTENDED,1,
177,J011343.13+022217.29,18.42970833,2.371469444,COMPACT_D,0,
178,J011354.50+132452.48,18.47708333,13.41457778,COMPACT,0,
179,J011452.77+132537.48,18.719875,13.42707778,COMPACT,0,
180,J011501.72-340027.21,18.75716667,-34.00755833,COMPACT,0,
181,J011517.10-012704.60,18.82125,-1.451277778,COMPACT_D,0,
182,J011523.87-280455.20,18.84945833,-28.082,COMPACT_D,0,
